Name                                                                       Stmts   Miss  Cover
----------------------------------------------------------------------------------------------
accounts/management/commands/create_admin_user.py                             41     41     0%
accounts/management/commands/migrate_users_to_access_keys.py                  80     80     0%
amocrm/management/commands/migrate_contact_notes_to_phone_comments.py        135    135     0%
companies/importer.py                                                        347    347     0%
companies/management/commands/backfill_company_history.py                    107    107     0%
companies/management/commands/backfill_company_region_from_amo.py             83     83     0%
companies/management/commands/backfill_skynet_company_phones.py              118    118     0%
companies/management/commands/cleanup_orphan_contacts.py                      72     72     0%
companies/management/commands/delete_amomail_notes.py                         24     24     0%
companies/management/commands/fix_company_branches.py                         81     81     0%
companies/management/commands/import_amo.py                                   23     23     0%
companies/management/commands/merge_company_spheres.py                       212    212     0%
companies/management/commands/migrate_amo_phones_to_company_phones.py         93     93     0%
companies/management/commands/rebuild_company_updated_from_activity.py        49     49     0%
companies/management/commands/seed_demo.py                                    24     24     0%
companies/management/commands/transfer_notes_ownership.py                     74     74     0%
companies/tasks.py                                                            21     21     0%
crm/exceptions.py                                                              1      1     0%
crm/json_formatter.py                                                          1      1     0%
crm/request_id_middleware.py                                                   1      1     0%
crm/utils.py                                                                   2      2     0%
mailer/management/commands/check_campaign_spheres.py                         157    157     0%
mailer/management/commands/mailer_worker.py                                  159    159     0%
mailer/management/commands/set_smtp_bz_quota.py                               28     28     0%
mailer/management/commands/sync_smtp_bz_quota.py                              53     53     0%
mailer/smtp_bz_api.py                                                        223    223     0%
messenger/consumers.py                                                       197    197     0%
messenger/management/commands/anonymize_messenger_contact.py                  58     58     0%
messenger/management/commands/close_old_messenger_conversations.py            39     39     0%
messenger/management/commands/escalate_messenger_conversations.py             32     32     0%
messenger/management/commands/export_messenger_contact_data.py                30     30     0%
messenger/online_status.py                                                    67     67     0%
messenger/routing.py                                                           3      3     0%
messenger/ws_notify.py                                                        58     58     0%
tasksapp/importer_ics.py                                                     164    164     0%
tasksapp/management/commands/cleanup_old_tasks.py                             97     97     0%
tasksapp/management/commands/fix_task_assigned_to_company_responsible.py      66     66     0%
tasksapp/management/commands/fix_task_creator_from_admin.py                   48     48     0%
tasksapp/management/commands/fix_task_statuses.py                             71     71     0%
ui/timezone_utils.py                                                           2      2     0%
mailer/tasks/sync.py                                                         165    149    10%
companies/region_utils.py                                                     46     41    11%
amocrm/migrate.py                                                           3576   3059    14%
ui/views/messenger_panel.py                                                  125    103    18%
messenger/push.py                                                             58     47    19%
core/test_runner.py                                                           37     29    22%
messenger/automation.py                                                      175    137    22%
mailer/views/settings.py                                                     238    185    22%
ui/views/settings_messenger.py                                               547    423    23%
phonebridge/api.py                                                           528    402    24%
mailer/views/_helpers.py                                                      95     72    24%
ui/views/settings_core.py                                                    845    636    25%
messenger/geoip.py                                                            39     29    26%
ui/views/company_detail.py                                                  1366    987    28%
ui/views/mobile.py                                                            49     35    29%
notifications/tasks.py                                                        58     41    29%
mailer/views/campaigns/files.py                                              109     76    30%
mailer/views/recipients.py                                                   393    269    32%
ui/views/settings_integrations.py                                            715    486    32%
messenger/views.py                                                            29     19    34%
mailer/views/campaigns/templates_views.py                                     57     37    35%
tasksapp/policy.py                                                            42     27    36%
ui/views/company_list.py                                                     721    451    37%
crm/views.py                                                                 127     78    39%
mailer/views/unsubscribe.py                                                   98     60    39%
ui/views/tasks.py                                                           1068    635    41%
messenger/integrations.py                                                    109     64    41%
messenger/templatetags/messenger_extras.py                                    19     11    42%
ui/views/dashboard.py                                                        639    364    43%
messenger/services.py                                                        287    159    45%
messenger/tasks.py                                                           163     86    47%
ui/views/settings_mail.py                                                    165     86    48%
ui/views/_base.py                                                            484    247    49%
ui/templatetags/ui_extras.py                                                 225    108    52%
messenger/api.py                                                             565    268    53%
ui/views/reports.py                                                          249    118    53%
messenger/dispatchers.py                                                      70     33    53%
amocrm/client.py                                                             271    127    53%
messenger/selectors.py                                                        71     33    54%
tasksapp/admin.py                                                             24     11    54%
messenger/widget_api.py                                                      778    354    54%
audit/models.py                                                              105     47    55%
accounts/scope.py                                                              9      4    56%
mailer/views/sending.py                                                      226     99    56%
mailer/tasks/send.py                                                         340    148    56%
tasksapp/api.py                                                              130     56    57%
messenger/assignment_services/round_robin.py                                 105     44    58%
companies/decorators.py                                                       51     21    59%
mailer/services/rate_limiter.py                                               85     35    59%
accounts/jwt_views.py                                                         62     23    63%
mailer/smtp_sender.py                                                        186     67    64%
messenger/utils.py                                                           365    126    65%
mailer/throttle.py                                                            41     14    66%
